timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014829769951,42,-35,-8,-29,20,34,1,61
1495014829769951,-74,49,-7,21,-7,-9,7,2
1495014829782016,28,-126,7,-39,-17,-6,-4,70
1495014829782016,-20,45,15,-13,10,-15,-14,-106
1495014829789036,12,-4,-11,-20,-18,8,27,-6
1495014829789036,-1,32,-5,74,18,-27,-32,-44
1495014829806232,60,49,9,-11,20,38,9,125
1495014829806232,-23,-76,1,38,-61,-29,-11,-100
1495014829807052,-28,-39,26,-18,9,-39,-27,47
1495014829807052,-6,-23,0,-41,-29,-10,-7,10
1495014829828106,-16,85,-10,-8,-16,-16,-15,-20
1495014829828106,74,127,-23,58,9,37,29,127
1495014829829110,-42,-87,-5,-8,-11,-1,-19,-117
1495014829829110,-22,38,4,-42,16,-21,10,-34
1495014829842440,-54,-128,-4,-5,11,9,-22,-8
1495014829842440,21,127,-11,-6,13,18,16,25
1495014829849415,57,127,-8,9,16,7,-7,46
1495014829849415,-86,-128,-1,-9,-8,21,11,-28
1495014829866207,8,58,-11,-21,-39,-31,3,78
1495014829866207,48,38,-3,24,83,-5,-13,68
1495014829867211,-52,-43,5,4,-32,-21,-4,-78
1495014829867211,32,8,-15,26,-31,-3,-17,88
1495014829888541,-17,-15,-2,-41,7,1,-4,50
1495014829888541,50,57,-31,70,-34,16,26,50
1495014829890273,-53,-40,24,-103,112,44,29,90
1495014829890273,-5,16,-5,45,-48,-41,-24,-77
1495014829902556,-20,51,-8,53,-33,-5,2,-12
1495014829902556,5,9,7,-18,-26,-37,-30,-75
1495014829910454,48,-13,-13,-8,17,35,11,23
1495014829910454,42,92,4,10,-3,13,6,27
1495014829925641,0,-112,-6,-3,27,-15,-4,-32
1495014829925641,-57,12,-5,-13,5,19,-14,-35
1495014829927370,22,10,-19,7,-44,-30,-13,97
1495014829927370,20,49,-12,-25,20,8,4,23
1495014829948609,-3,-29,18,14,-32,-10,16,35
1495014829948609,26,-30,-6,-15,27,15,-9,41
1495014829949431,-19,-111,22,61,-40,-34,13,10
1495014829949431,13,54,3,-11,-22,-48,-36,-87
